Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
70944470;SU;1;1;590;MM;394;MM;1 755,00;MM;407,967;CDM;18 000,00;G;18 000,00;G
70980582;CU;1;1;264;MM;194;MM;70;MM;3,585;CDM;930;G;930;G
70980582;PAL;250;1;1 200,00;MM;800;MM;0;MM;0;CDM;0;;232 500,00;G
70980582;PC;1;1;0;;0;;0;;0;CDM;0;G;930;G
70980582;PLR;16;1;1 200,00;MM;800;MM;70;MM;67,2;CDM;0;;14 880,00;G
70980582;SU;1;1;264;MM;194;MM;70;MM;3,585;CDM;930;G;930;G
70980597;CU;1;1;667;MM;379;MM;348;MM;87,972;CDM;11 730,00;G;10 000,00;G
70980597;PAL;15;1;1 200,00;MM;800;MM;0;MM;0;CDM;0;G;150 000,00;G
70980597;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;10 000,00;G
70980597;PLR;3;1;1 200,00;MM;800;MM;0;MM;0;CDM;0;G;30 000,00;G
70980597;SU;1;1;667;MM;379;MM;348;MM;87,972;CDM;11 730,00;G;10 000,00;G
70980680;CU;1;1;0;MM;0;MM;0;MM;0;CDM;7 150,00;G;6 880,00;G
70980680;PAL;20;1;0;MM;0;MM;0;MM;0;CDM;0;;137 600,00;G
70980680;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;6 880,00;G
70980680;PLR;8;1;0;MM;0;MM;0;MM;0;CDM;0;;55 040,00;G
70980680;SU;1;1;350;MM;294;MM;90;MM;9,261;CDM;8 640,00;G;6 880,00;G
70980681;CU;1;1;0;MM;0;MM;0;MM;9,261;CDM;8,64;G;8,64;G
70980681;PAL;20;1;1 200,00;MM;800;MM;0;MM;185,22;CDM;172,8;G;172,8;G
70980681;PC;1;1;0;MM;0;MM;0;MM;9,261;CDM;8,64;G;8,64;G
70980681;PLR;8;1;1 200,00;MM;800;MM;0;MM;74,088;CDM;69,12;G;69,12;G
70980681;SU;1;1;350;MM;294;MM;90;MM;9,261;CDM;8,64;G;8,64;G
70980682;CU;1;1;0;MM;0;MM;0;MM;0;CDM;10 000,00;G;10 000,00;G
70980682;PAL;12;1;1 200,00;MM;800;MM;0;MM;0;CDM;145 000,00;G;120 000,00;G
70980682;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;10 000,00;G
70980682;PLR;3;1;1 200,00;MM;800;MM;0;MM;1,054;CDM;30 000,00;G;30 000,00;G
70980682;SU;1;1;670;MM;360;MM;437;MM;105,404;CDM;10 000,00;G;10 000,00;G
70980683;CU;1;1;0;MM;0;MM;0;MM;0;CDM;10 000,00;G;10 000,00;G
70980683;PAL;12;1;1 200,00;MM;800;MM;0;MM;0;CDM;145 000,00;G;120 000,00;G
70980683;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;10 000,00;G
70980683;PLR;3;1;1 200,00;MM;800;MM;0;MM;0;CDM;30 000,00;G;30 000,00;G
70980683;SU;1;1;670;MM;360;MM;437;MM;105,404;CDM;10 000,00;G;10 000,00;G
70980707;CU;1;1;0;MM;0;MM;0;MM;0;CDM;219,54;G;219,54;G
70980707;PC;1;1;0;;0;;0;;0;CDM;0;;219,54;G
70980707;SU;1;1;0;;0;;0;;0;CDM;0;;219,54;G
70980735;CU;1;1;0;MM;0;MM;0;MM;0;CDM;2 240,00;G;2 240,00;G
70980735;DU;1;1;0;;0;;0;;0;CDM;0;;2 240,00;G
70980735;PAL;60;1;0;;0;;0;;0;;0;;134 400,00;G
70980735;PC;1;1;0;;0;;0;;0;CDM;0;;2 240,00;G
70980735;PLR;10;1;0;;0;;0;;0;;0;;22 400,00;G
70980735;SU;1;1;426;MM;404;MM;83;MM;14,285;CDM;2 240,00;G;2 240,00;G
70980736;CU;1;1;0;MM;0;MM;0;MM;0;CDM;118,33;G;118,33;G
70980736;PAL;1 152;1;0;;0;;0;;0;CDM;161 316,00;G;136 316,16;G
70980736;PC;1;1;0;;0;;0;;0;CDM;0;;118,33;G
70980736;PLR;144;1;0;;0;;0;;0;CDM;17 040,00;G;17 039,52;G
70980736;SU;24;1;403;MM;307;MM;170;MM;21,033;CDM;2 840,00;G;2 839,92;G
70980741;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
70980741;PAL;150;1;0;;0;;0;;0;;0;;0;G
70980741;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
70980741;PLR;10;1;0;;0;;0;;0;;0;;0;G
70980741;SU;5;1;620;MM;570;MM;67;MM;23,678;CDM;3 240,00;G;0;G
70980748;CU;1;1;0;MM;0;MM;0;MM;0;CDM;11 100,00;G;10 000,00;G
70980748;PAL;80;1;0;;0;;0;;0;;433 000,00;G;800 000,00;G
70980748;PC;1;1;0;;0;;0;;0;CDM;0;;10 000,00;G
70980748;SU;1;1;120;MM;85;MM;1 320,00;MM;13,464;CDM;5 100,00;G;10 000,00;G
70980781;CU;1;1;0;MM;0;MM;0;MM;0;CDM;11 000,00;G;2 000,00;G
70980781;PAL;15;1;0;;0;;0;;0;;0;;30 000,00;G
70980781;PC;1;3;0;;0;;0;;0;CDM;0;;2 000,00;G
70980781;SU;1;1;0;;0;;0;;0;CDM;0;;2 000,00;G
70980789;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1 530,00;G;1 360,00;G
70980789;PAL;54;1;0;;0;;0;;0;;0;;73 440,00;G
70980789;PC;1;1;0;;0;;0;;0;CDM;0;;1 360,00;G
70980789;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 360,00;G
70980790;CU;1;1;0;MM;0;MM;0;MM;0;CDM;4 800,00;G;3 900,00;G
70980790;PAL;50;1;0;;0;;0;;0;;0;;195 000,00;G
70980790;PC;1;1;0;;0;;0;;0;CDM;0;;3 900,00;G
70980790;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;3 900,00;G
70980821;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
70980821;PAL;32;1;0;;0;;0;;0;;0;;0;G
70980821;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
70980821;SU;1;1;910;MM;574;MM;61;MM;31,863;CDM;1 920,00;G;0;G
70980853;CU;1;1;0;;0;;0;;0;CDM;2,02;G;2,02;G
70980853;PC;1;1;0;;0;;0;;0;CDM;0;;2,02;G
70980853;SU;1;1;0;;0;;0;;0;;0;;2,02;G
70980864;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
70980864;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
70980864;SU;1;1;0;;0;;0;;0;;0;;0;G
70980873;CU;1;1;0;;0;;0;;0;CDM;1 100,00;G;1 100,00;G
70980873;PC;1;1;0;;0;;0;;0;CDM;0;;1 100,00;G
70980873;SU;1;1;0;;0;;0;;0;;0;;1 100,00;G
70980874;CU;1;1;0;;0;;0;;0;CDM;1 202,00;G;1 202,00;G
70980874;PC;1;1;0;;0;;0;;0;CDM;0;;1 202,00;G
70980874;SU;1;1;0;;0;;0;;0;;0;;1 202,00;G
70980922;CU;1;1;0;MM;0;MM;0;MM;0;CDM;219;G;219;G
70980922;PC;1;1;0;;0;;0;;0;CDM;0;;219;G
70980922;SU;1;1;0;;0;;0;;0;;0;;219;G
70980923;CU;1;1;0;MM;0;MM;0;MM;0;CDM;269;G;269;G
70980923;PC;1;1;0;;0;;0;;0;CDM;0;;269;G
70980923;SU;1;1;0;;0;;0;;0;;0;;269;G
70980955;CU;1;1;0;;0;;0;;0;CDM;1;KG;1;KG
70980955;PAL;20;1;0;;0;;0;;0;;0;;20;KG
70980955;PC;1;1;0;;0;;0;;0;CDM;0;;1;KG
70980955;SU;1;1;0;;0;;0;;0;CDM;0;;1;KG
70981001;CU;1;1;1 000,00;MM;1 000,00;MM;0;MM;0;CDM;484;G;484;G
70981001;PAL;100;1;0;;0;;0;;0;;0;;48 400,00;G
70981001;PC;1;1;0;;0;;0;;0;;0;;484;G
70981001;PLR;1;1;0;;0;;0;;0;;0;;484;G
70981001;SU;1;1;1 200,00;MM;800;MM;10;MM;9,6;CDM;10;G;484;G
70981408;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1,8;G;1,8;G
70981408;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981408;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981409;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1,8;G;1,8;G
70981409;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981409;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981411;CU;1;1;0;MM;0;MM;0;MM;0;CDM;3;G;2,7;G
70981411;PAL;28 800;1;0;MM;0;MM;0;MM;0;CDM;0;;77 760,00;G
70981411;PC;1;1;0;;0;;0;;0;CDM;0;;2,7;G
70981411;PLR;9 600;1;0;MM;0;MM;0;MM;0;CDM;0;;25 920,00;G
70981411;SU;1 600;1;0;MM;0;MM;0;MM;0;CDM;5 000,00;G;4 320,00;G
70981466;CU;1;1;0;MM;0;MM;0;MM;0;CDM;269;G;269;G
70981466;PC;1;1;0;;0;;0;;0;CDM;0;;269;G
70981466;SU;1;1;0;;0;;0;;0;CDM;0;;269;G
70981487;CU;1;1;0;MM;0;MM;0;MM;0;CDM;300;G;300;G
70981487;PC;1;1;0;;0;;0;;0;CDM;0;;300;G
70981487;SU;1;1;0;;0;;0;;0;CDM;0;;300;G
70981502;CU;1;1;0;MM;0;MM;0;MM;0;CDM;600;G;170;G
70981502;DU;70;1;570;MM;500;MM;550;MM;156,75;CDM;9 030,00;G;11 900,00;G
70981502;PAL;840;1;0;;0;;0;;0;;0;;142 800,00;G
70981502;PC;1;1;0;;0;;0;;0;CDM;0;;170;G
70981502;PLR;280;1;0;;0;;0;;0;;0;;47 600,00;G
70981502;SU;1;1;235;MM;180;MM;46;MM;1,946;CDM;129;G;170;G
70981510;CU;1;1;1 000,00;MM;0;MM;2 000,00;MM;0;CDM;40 000,00;G;36 000,00;G
70981510;PAL;4;1;0;;0;;0;;0;;0;;144 000,00;G
70981510;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;36 000,00;G
70981510;PLR;4;1;0;;0;;0;;0;;0;;144 000,00;G
70981510;SU;1;1;600;MM;400;MM;1 873,00;MM;449,52;CDM;0;G;36 000,00;G
70981530;CU;1;1;0;;0;;0;;0;CDM;269;G;269;G
70981530;PAL;1 000;1;0;;0;;0;;0;;0;;269 000,00;G
70981530;PC;1;1;0;;0;;0;;0;CDM;0;;269;G
70981530;PLR;1;1;0;;0;;0;;0;;0;;269;G
70981530;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;269;G
70981531;CU;1;1;0;;0;;0;;0;CDM;800;G;800;G
70981531;PAL;500;1;0;;0;;0;;0;;0;;400 000,00;G
70981531;PC;1;1;0;;0;;0;;0;CDM;0;;800;G
70981531;PLR;1;1;0;;0;;0;;0;;0;;800;G
70981531;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;800;G
70981544;CU;1;1;0;MM;0;MM;0;MM;0;CDM;232;G;232;G
70981544;PAL;225;1;0;;0;;0;;0;;0;;52 200,00;G
70981544;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;232;G
70981544;PLR;1;1;0;;0;;0;;0;;0;;232;G
70981544;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;232;G
70981546;CU;1;1;0;MM;0;MM;0;MM;0;CDM;232;G;232;G
70981546;PAL;450;1;0;;0;;0;;0;;0;;104 400,00;G
70981546;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;232;G
70981546;PLR;1;1;0;;0;;0;;0;;0;;232;G
70981546;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;232;G
70981549;CU;1;1;0;MM;0;MM;0;MM;0;CDM;6 530,00;G;6 530,00;G
70981549;PC;1;1;0;;0;;0;;0;CDM;0;;6 530,00;G
70981549;SU;1;1;0;;0;;0;;0;CDM;0;;6 530,00;G
70981550;CU;1;1;0;MM;0;MM;0;MM;0;CDM;387;G;387;G
70981550;PC;1;1;0;;0;;0;;0;CDM;0;;387;G
70981550;SU;1;1;0;;0;;0;;0;CDM;0;;387;G
70981555;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
70981555;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
70981555;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
70981556;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1 100,00;G;1 100,00;G
70981556;PC;1;1;0;;0;;0;;0;CDM;0;;1 100,00;G
70981556;SU;1;1;0;;0;;0;;0;CDM;0;;1 100,00;G
70981557;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1 202,00;G;1 202,00;G
70981557;PC;1;1;0;;0;;0;;0;CDM;0;;1 202,00;G
70981557;SU;1;1;0;;0;;0;;0;CDM;0;;1 202,00;G
70981559;CU;1;1;600;MM;400;MM;1 258,00;MM;301,92;CDM;8;KG;8;KG
70981559;PAL;4;1;0;;0;;0;;0;;0;;32;KG
70981559;PC;1;1;0;;0;;0;;0;CDM;0;;8;KG
70981559;SU;1;1;0;;0;;0;;0;CDM;0;;8;KG
70981560;CU;1;1;0;MM;0;MM;0;MM;0;CDM;84;G;84;G
70981560;PC;1;1;0;;0;;0;;0;CDM;0;;84;G
70981560;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;84;G
70981561;CU;1;1;0;MM;0;MM;0;MM;0;CDM;57;G;57;G
70981561;PC;1;1;0;;0;;0;;0;CDM;0;;57;G
70981561;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;57;G
70981564;CU;1;1;915;MM;570;MM;60;MM;31,293;CDM;0;G;0;G
70981564;PC;1;1;915;MM;570;MM;60;MM;31,293;CDM;0;;0;G
70981564;SU;1;1;915;MM;570;MM;60;MM;31,293;CDM;0;;0;G
70981565;CU;1;1;725;MM;625;MM;60;MM;27,188;CDM;0;G;0;G
70981565;PC;1;1;725;MM;625;MM;60;MM;27,188;CDM;0;;0;G
70981565;SU;1;1;725;MM;625;MM;60;MM;27,188;CDM;0;;0;G
70981568;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1 202,00;G;1 202,00;G
70981568;PC;1;1;0;;0;;0;;0;CDM;0;;1 202,00;G
70981568;SU;1;1;0;;0;;0;;0;CDM;0;;1 202,00;G
70981569;CU;1;1;28;MM;34;MM;34;MM;32,368;CDM;5 700,00;G;5 100,00;G
70981569;PC;1;5;0;;0;;0;;0;CDM;0;;5 100,00;G
70981569;SU;1;1;0;;0;;0;;0;CDM;0;;5 100,00;G
70981570;CU;1;1;24;MM;135;MM;39;MM;0,126;CDM;24 700,00;G;24 700,00;G
70981570;PC;1;1;0;;0;;0;;0;CDM;0;;24 700,00;G
70981570;SU;1;1;0;;0;;0;;0;CDM;0;;24 700,00;G
70981571;CU;1;1;0;MM;0;MM;0;MM;0;CDM;700;G;700;G
70981571;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;700;G
70981571;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;700;G
70981572;CU;1;1;0;MM;0;MM;0;MM;0;CDM;22 500,00;G;15 000,00;G
70981572;PAL;4;1;1 200,00;MM;800;MM;2 016,00;MM;1 935,36;CDM;90 000,00;G;60 000,00;G
70981572;PC;1;1;0;;0;;0;;0;CDM;0;;15 000,00;G
70981572;SU;1;1;0;;0;;0;;0;CDM;0;;15 000,00;G
70981573;CU;1;1;230;MM;105;MM;130;MM;3,14;CDM;400;G;300;G
70981573;PC;1;1;230;MM;105;MM;130;MM;3,14;CDM;0;;300;G
70981573;SU;1;1;0;;0;;0;;0;;0;;300;G
70981574;CU;1;1;100;MM;100;MM;370;MM;3,7;CDM;1 000,00;G;800;G
70981574;PC;1;1;100;MM;100;MM;370;MM;3,7;CDM;0;;800;G
70981574;SU;1;1;0;;0;;0;;0;;0;;800;G
70981576;CU;1;1;45;MM;40;MM;18;MM;0,032;CDM;5 950,00;G;5 950,00;G
70981576;PAL;36;1;0;;0;;0;;0;;0;;214 200,00;G
70981576;PC;1;1;45;MM;40;MM;18;MM;0,032;CDM;0;G;5 950,00;G
70981576;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;5 950,00;G
70981577;CU;1;1;600;MM;400;MM;1 730,00;MM;0,032;CDM;51 100,00;G;51 100,00;G
70981577;PAL;4;1;0;;0;;0;;0;;0;;204 400,00;G
70981577;PC;1;1;600;MM;400;MM;1 730,00;MM;0,032;CDM;0;G;51 100,00;G
70981577;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;51 100,00;G
70981578;CU;1;1;400;MM;400;MM;1 730,00;MM;276,8;CDM;30 000,00;G;27 500,00;G
70981578;PAL;6;1;1 200,00;MM;800;MM;1 730,00;MM;1 660,80;CDM;205 000,00;G;165 000,00;G
70981578;PC;1;1;400;MM;400;MM;1 730,00;MM;276,8;CDM;30 000,00;G;27 500,00;G
70981578;SU;1;1;400;MM;400;MM;1 730,00;MM;276,8;CDM;30 000,00;G;27 500,00;G
70981579;CU;1;1;370;MM;180;MM;390;MM;25,974;CDM;41 200,00;G;41 200,00;G
70981579;PC;1;1;370;MM;180;MM;390;MM;25,974;CDM;0;G;41 200,00;G
70981579;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;41 200,00;G
70981580;CU;1;1;570;MM;180;MM;390;MM;40,014;CDM;8 767,00;G;0;G
70981580;PC;1;1;570;MM;180;MM;390;MM;40,014;CDM;8 767,00;G;0;G
70981580;SU;1;1;570;MM;180;MM;390;MM;40,014;CDM;8 767,00;G;0;G
70981582;CU;1;1;1 175,00;MM;725;MM;55;MM;46,853;CDM;6 000,00;G;6 000,00;G
70981582;PAL;10;1;0;;0;;0;;0;;0;;60 000,00;G
70981582;PC;1;1;1 175,00;MM;725;MM;55;MM;46,853;CDM;6 000,00;G;6 000,00;G
70981582;SU;1;1;1 175,00;MM;725;MM;55;MM;46,853;CDM;6 000,00;G;6 000,00;G
70981583;CU;1;1;1 200,00;MM;480;MM;180;MM;103,68;CDM;7 000,00;G;7 000,00;G
70981583;PAL;15;1;0;;0;;0;;0;;0;;105 000,00;G
70981583;PC;1;1;1 200,00;MM;480;MM;180;MM;103,68;CDM;7 000,00;G;7 000,00;G
70981583;SU;1;1;1 200,00;MM;480;MM;180;MM;103,68;CDM;7 000,00;G;7 000,00;G
70981584;CU;1;1;735;MM;645;MM;70;MM;33,185;CDM;2 000,00;G;2 000,00;G
70981584;PAL;20;1;0;MM;0;MM;0;MM;0;CDM;0;G;40 000,00;G
70981584;PC;1;1;735;MM;645;MM;70;MM;33,185;CDM;2 000,00;G;2 000,00;G
70981584;SU;1;1;735;MM;645;MM;70;MM;33,185;CDM;2 000,00;G;2 000,00;G
70981585;CU;1;1;1 200,00;MM;550;MM;100;MM;66;CDM;3 500,00;G;3 500,00;G
70981585;PAL;20;1;0;;0;;0;;0;;0;;70 000,00;G
70981585;PC;1;1;1 200,00;MM;550;MM;100;MM;66;CDM;3 500,00;G;3 500,00;G
70981585;SU;1;1;1 200,00;MM;550;MM;100;MM;66;CDM;3 500,00;G;3 500,00;G
70981588;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981588;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981588;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981588;SU;1;1;0;;0;;0;;0;CDM;0;;1 111,00;G
70981590;CU;1;1;8 220,00;MM;330;MM;1 500,00;MM;4 068,90;CDM;8 220,00;G;5 950,00;G
70981590;PAL;4;1;0;;0;;0;;0;;0;;23 800,00;G
70981590;PC;1;1;8 220,00;MM;330;MM;1 500,00;MM;4 068,90;CDM;8 220,00;G;5 950,00;G
70981590;SU;1;1;0;;0;;0;;0;CDM;0;G;5 950,00;G
70981591;CU;1;1;910;MM;565;MM;50;MM;25,708;CDM;2 000,00;G;1 400,00;G
70981591;PAL;35;1;0;;0;;0;;0;;0;;49 000,00;G
70981591;PC;1;1;910;MM;565;MM;50;MM;25,708;CDM;2 000,00;G;1 400,00;G
70981591;SU;1;1;910;MM;565;MM;50;MM;25,708;CDM;2 000,00;G;1 400,00;G
70981592;CU;1;1;320;MM;255;MM;60;MM;4,896;CDM;600;G;170;G
70981592;PAL;100;1;0;;0;;0;;0;;0;;17 000,00;G
70981592;PC;1;1;320;MM;255;MM;60;MM;4,896;CDM;0;;170;G
70981592;SU;1;1;0;;0;;0;;0;CDM;0;G;170;G
70981595;CU;1;1;1 100,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981595;PAL;500;1;0;;0;;0;;0;;0;;550 000,00;G
70981595;PC;1;1;1 100,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981595;SU;1;1;1 100,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981596;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981596;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981596;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981597;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981597;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981597;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981598;CU;1;1;670;MM;255;MM;385;MM;65,777;CDM;6 100,00;G;4 800,00;G
70981598;PAL;50;1;0;;0;;0;;0;;0;;240 000,00;G
70981598;PC;1;1;670;MM;255;MM;385;MM;65,777;CDM;6 100,00;G;4 800,00;G
70981598;SU;2;1;0;MM;0;MM;0;MM;0;CDM;0;G;9 600,00;G
70981602;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 110,00;G;1 110,00;G
70981602;PAL;500;1;0;;0;;0;;0;;0;;555 000,00;G
70981602;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 110,00;G;1 110,00;G
70981602;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 110,00;G;1 110,00;G
70981603;CU;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981603;PAL;500;1;0;;0;;0;;0;;0;;550 000,00;G
70981603;PC;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981603;SU;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981604;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981604;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981604;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981605;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981605;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981605;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981606;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981606;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981606;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981609;CU;1;1;510;MM;340;MM;30;MM;5,202;CDM;500;G;500;G
70981609;PAL;400;1;0;;0;;0;;0;;0;;200 000,00;G
70981609;PC;1;1;510;MM;340;MM;30;MM;5,202;CDM;500;G;500;G
70981609;SU;1;1;0;;0;;0;;0;CDM;0;;500;G
70981610;CU;1;1;370;MM;78;MM;30;MM;0,866;CDM;20;G;20;G
70981610;PAL;1 400;1;0;MM;0;MM;0;MM;0;CDM;0;G;28 000,00;G
70981610;PC;1;1;370;MM;78;MM;30;MM;0,866;CDM;20;G;20;G
70981610;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;20;G
70981611;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981611;PAL;400;1;0;;0;;0;;0;;0;;444 400,00;G
70981611;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981611;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981612;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981612;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981612;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981612;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981614;CU;1;1;390;MM;374;MM;3;MM;0,438;CDM;118;G;118;G
70981614;PAL;1 000;1;0;MM;0;MM;0;MM;0;CDM;0;G;118 000,00;G
70981614;PC;1;1;390;MM;374;MM;3;MM;0,438;CDM;118;G;118;G
70981614;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;118;G
70981615;CU;1;1;580;MM;3;MM;370;MM;0,644;CDM;164;G;164;G
70981615;PAL;1 000;1;0;MM;0;MM;0;MM;0;CDM;0;G;164 000,00;G
70981615;PC;1;1;580;MM;3;MM;370;MM;0,644;CDM;164;G;164;G
70981615;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;164;G
70981616;CU;1;1;574;MM;3;MM;300;MM;0,517;CDM;150;G;150;G
70981616;PAL;1 000;1;0;MM;0;MM;0;MM;0;CDM;0;G;150 000,00;G
70981616;PC;1;1;574;MM;3;MM;300;MM;0,517;CDM;150;G;150;G
70981616;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;150;G
70981618;CU;1;1;380;MM;3;MM;360;MM;0,41;CDM;90;G;90;G
70981618;PAL;700;1;0;;0;;0;;0;;0;;63 000,00;G
70981618;PC;1;1;380;MM;3;MM;360;MM;0,41;CDM;90;G;90;G
70981618;SU;1;1;0;;0;;0;;0;CDM;0;;90;G
70981619;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981619;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981619;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981621;CU;1;1;600;MM;4;MM;1 617,00;MM;3,881;CDM;650;G;650;G
70981621;PAL;400;1;0;;0;;0;;0;;0;;260 000,00;G
70981621;PC;1;1;600;MM;4;MM;1 617,00;MM;3,881;CDM;650;G;650;G
70981621;SU;1;1;0;;0;;0;;0;CDM;0;;650;G
70981622;CU;1;1;967;MM;4;MM;1 200,00;MM;4,642;CDM;750;G;750;G
70981622;PAL;400;1;0;;0;;0;;0;;0;;300 000,00;G
70981622;PC;1;1;967;MM;4;MM;1 200,00;MM;4,642;CDM;750;G;750;G
70981622;SU;1;1;0;;0;;0;;0;CDM;0;;750;G
70981624;CU;1;1;390;MM;500;MM;1 520,00;MM;296,4;CDM;10;G;10;G
70981624;PAL;6;1;0;;0;;0;;0;;0;;60;G
70981624;PC;1;1;390;MM;500;MM;1 520,00;MM;296,4;CDM;0;;10;G
70981624;SU;1;1;0;;0;;0;;0;CDM;0;;10;G
70981625;CU;1;1;380;MM;374;MM;3;MM;0,426;CDM;122;G;122;G
70981625;PAL;300;1;0;;0;;0;;0;;0;;36 600,00;G
70981625;PC;1;1;380;MM;374;MM;3;MM;0,426;CDM;122;G;122;G
70981625;SU;300;1;0;;0;;0;;0;;0;;36 600,00;G
70981626;CU;1;1;350;MM;3;MM;200;MM;0,21;CDM;200;G;200;G
70981626;PAL;500;1;0;;0;;0;;0;;0;;100 000,00;G
70981626;PC;1;1;350;MM;3;MM;200;MM;0,21;CDM;0;;200;G
