Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
7000201D;PAL;4 320;1;1 200,00;MM;800;MM;1 724,00;MM;1 655,04;CDM;200 760,00;G;95 040,00;G
7000201D;PC;1;1;0;;0;;0;;0;CDM;34,3;G;22;G
7000201D;PLR;1 080;1;1 100,00;MM;732;MM;395;MM;318,054;CDM;44 190,00;G;23 760,00;G
7000201D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 335,00;MM;1 602,00;CDM;201 760,00;G;95 040,00;G
7000201D;PRU;1 440;1;1 100,00;MM;914;MM;395;MM;397,133;CDM;58 920,00;G;31 680,00;G
7000201D;SU;10;1;150;MM;90;MM;190;MM;2,565;CDM;388;G;220;G
70003740;CU;1;1;62;MM;98;MM;207;MM;1,258;CDM;93;G;68;G
70003740;DU;50;1;531;MM;252;MM;427;MM;57,138;CDM;4 650,00;G;3 400,00;G
70003740;PAL;1 200;1;1 200,00;MM;800;MM;1 852,00;MM;1 777,92;CDM;135 600,00;G;81 600,00;G
70003740;PC;1;4;0;;0;;0;;0;;0;;68;G
70003740;PLR;300;1;1 062,00;MM;756;MM;427;MM;409,92;CDM;27 900,00;G;20 400,00;G
70003740;PLU;900;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;108 700,00;G;61 200,00;G
70003740;PRU;300;1;1 062,00;MM;756;MM;427;MM;342,826;CDM;27 900,00;G;20 400,00;G
70003740;SU;5;1;277;MM;103;MM;205;MM;5,181;CDM;465;G;340;G
7000376J;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;108;G;85;G
7000376J;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 408,00;G;4 250,00;G
7000376J;PAL;1 400;1;1 200,00;MM;800;MM;1 852,00;MM;1 777,92;CDM;175 424,00;G;119 000,00;G
7000376J;PC;1;1;0;;0;;0;;0;CDM;0;;85;G
7000376J;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;37 856,00;G;29 750,00;G
7000376J;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;540;G;425;G
70003890;CU;1;1;98;MM;54;MM;198;MM;1,401;CDM;113,2;G;84;G
70003890;DU;50;1;531;MM;309;MM;427;MM;70,062;CDM;5 660,00;G;4 200,00;G
70003890;PAL;800;1;1 200,00;MM;800;MM;1 852,00;MM;1 777,92;CDM;114 560,00;G;67 200,00;G
70003890;PC;1;1;0;;0;;0;;0;CDM;0;;84;G
70003890;PLR;200;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;22 640,00;G;16 800,00;G
70003890;SU;5;1;300;MM;102;MM;206;MM;6,304;CDM;570;G;420;G
7000411D;CU;1;1;8;MM;85;MM;185;MM;0,126;CDM;42;G;12,2;G
7000411D;DU;72;1;375;MM;280;MM;196;MM;20,58;CDM;3 923,00;G;878,4;G
7000411D;PAL;4 032;1;1 200,00;MM;800;MM;1 522,00;MM;1 461,12;CDM;243 732,80;G;49 190,40;G
7000411D;PC;1;1;0;;0;;0;;0;CDM;42;G;12,2;G
7000411D;PLR;576;1;1 200,00;MM;800;MM;196;MM;188,16;CDM;31 390,00;G;7 027,20;G
7000411D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 363,00;MM;1 635,60;CDM;260 428,00;G;52 704,00;G
7000411D;PRU;720;1;1 200,00;MM;1 000,00;MM;196;MM;235,2;CDM;39 238,00;G;8 784,00;G
7000411D;SU;3;1;188;MM;45;MM;88;MM;0,744;CDM;153;G;36,6;G
7000412D;CU;1;1;10;MM;85;MM;185;MM;0,157;CDM;48,75;G;43,875;G
7000412D;DU;72;1;376;MM;282;MM;200;MM;22,04;CDM;3 504,00;G;3 159,00;G
7000412D;PAL;4 032;1;1 200,00;MM;800;MM;1 544,00;MM;1 488,00;CDM;220 224,00;G;176 904,00;G
7000412D;PC;1;1;0;;0;;0;;0;CDM;0;G;43,875;G
7000412D;PLR;576;1;1 128,00;MM;752;MM;200;MM;192;CDM;28 032,00;G;25 272,00;G
7000412D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 635,60;CDM;235 240,00;G;189 540,00;G
7000412D;PRU;720;1;1 160,00;MM;960;MM;1 200,00;MM;240;CDM;35 040,00;G;31 590,00;G
7000412D;SU;3;1;133;MM;62;MM;183;MM;0,761;CDM;146;G;131,625;G
7000420D;CU;1;1;62;MM;10;MM;184;MM;0,114;CDM;39,17;G;35,253;G
7000420D;DU;72;1;398;MM;263;MM;200;MM;20,935;CDM;3 475,00;G;2 538,22;G
7000420D;PAL;4 536;1;1 200,00;MM;800;MM;1 544,00;MM;1 482,24;CDM;242 925,00;G;159 907,61;G
7000420D;PC;1;1;62;MM;10;MM;184;MM;0,114;CDM;0;;35,253;G
7000420D;PLR;648;1;1 185,00;MM;780;MM;200;MM;184,86;CDM;31 275,00;G;22 843,94;G
7000420D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;233 500,00;G;152 292,96;G
7000420D;PRU;720;1;1 185,00;MM;925;MM;200;MM;219,225;CDM;34 750,00;G;25 382,16;G
7000420D;SU;6;1;87;MM;79;MM;187;MM;1,285;CDM;220;G;211,518;G
7000430D;CU;1;1;8,5;MM;60;MM;230;MM;0,117;CDM;26,66;G;20;G
7000430D;DU;252;1;565;MM;399;MM;250;MM;53,03;CDM;8 644,00;G;5 040,00;G
7000430D;PAL;6 048;1;1 200,00;MM;800;MM;1 644,00;MM;1 555,20;CDM;231 456,00;G;120 960,00;G
7000430D;PC;1;1;0;;0;;0;;0;CDM;0;;20;G
7000430D;PLR;1 008;1;1 130,00;MM;798;MM;250;MM;235,2;CDM;34 576,00;G;20 160,00;G
7000430D;PLU;6 300;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;1 665,60;CDM;241 100,00;G;126 000,00;G
7000430D;PRU;1 260;1;1 197,00;MM;964;MM;250;MM;294;CDM;43 220,00;G;25 200,00;G
7000430D;SU;6;1;79;MM;62;MM;233;MM;1,222;CDM;194;G;120;G
70007490;CU;1;1;41;MM;101;MM;207;MM;0,857;CDM;97;G;80;G
70007490;PAL;1 400;1;1 200,00;MM;800;MM;1 705,00;MM;1 636,80;CDM;159 800,00;G;112 000,00;G
70007490;PC;1;3;0;;0;;0;;0;;0;G;80;G
70007490;PLR;200;1;1 200,00;MM;800;MM;223;MM;214,08;CDM;19 400,00;G;16 000,00;G
70007490;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 488,00;MM;1 785,60;CDM;170 500,00;G;120 000,00;G
70007490;PRU;250;1;1 110,00;MM;1 000,00;MM;223;MM;247,53;CDM;24 250,00;G;20 000,00;G
70007490;SU;10;1;222;MM;200;MM;223;MM;9,901;CDM;970;G;800;G
