Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
7005282E,PLR,600,1.0,"1 200,000",MM,"800,000",MM,"125,000",MM,"134,400",CDM,"45 640,000",G,"35 712,000",G,
7005282E,SU,25,1.0,"180,000",MM,"180,000",MM,"125,000",MM,"4,662",CDM,"1 818,000",G,"1 488,000",G,
7005371E,CU,1,1.0,"55,000",MM,"97,000",MM,"195,000",MM,"1,040",CDM,"71,000",G,"55,000",G,
7005371E,DU,50,1.0,"511,000",MM,"168,000",MM,"413,000",MM,"35,455",CDM,"4 710,000",G,"2 750,000",G,
7005371E,PAL,1 800,1.0,"1 200,000",MM,"800,000",MM,"1 796,000",MM,"1 724,160",CDM,"193 560,000",G,"99 000,000",G,
7005371E,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"71,000",G,"55,000",G,
7005371E,PLR,450,1.0,"1 190,000",MM,"672,000",MM,"413,000",MM,"330,268",CDM,"42 390,000",G,"24 750,000",G,
7005371E,PLU,1 500,1.0,"1 200,000",MM,"1 000,000",MM,"1 389,000",MM,"1 666,800",CDM,"166 300,000",G,"82 500,000",G,
7005371E,PRU,500,1.0,"1 022,000",MM,"840,000",MM,"413,000",MM,"354,552",CDM,"47 100,000",G,"27 500,000",G,
7005371E,SU,5,1.0,"160,000",MM,"100,000",MM,"199,000",MM,"3,184",CDM,"440,000",G,"275,000",G,
7005702B,CU,1,1.0,"65,000",MM,"160,000",MM,"220,000",MM,"2,288",CDM,"208,170",G,"180,320",G,
7005702B,PAL,560,1.0,"1 200,000",MM,"800,000",MM,"1 887,000",MM,"1 811,520",CDM,"115 375,200",G,"100 979,200",G,
7005702B,PC,1,16.0,"65,000",MM,"160,000",MM,"220,000",MM,"2,288",CDM,"208,170",G,"180,320",G,
7005702B,PCF,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"180,320",G,
7005702B,PLR,80,1.0,"1 200,000",MM,"800,000",MM,"249,000",MM,"239,040",CDM,"18 053,600",G,"14 425,600",G,
7005702B,SU,20,1.0,"575,000",MM,"321,000",MM,"249,000",MM,"45,959",CDM,"4 513,400",G,"3 606,400",G,
70057050,CU,1,1.0,"40,000",MM,"150,000",MM,"240,000",MM,"1,440",CDM,"119,800",G,"91,000",G,
70057050,PAL,800,1.0,"1 200,000",MM,"800,000",MM,"1 984,000",MM,"1 904,640",CDM,"119 840,000",G,"72 800,000",G,
