Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
7000023W,CU,1,1.0,"153,000",MM,"232,000",MM,"23,000",MM,"0,816",CDM,"155,000",G,"132,000",G,CU
7000023W,PAL,1 200,1.0,"1 200,000",MM,"800,000",MM,"1 596,000",MM,"1 532,160",CDM,"225 600,000",G,"158 400,000",G,PAL
7000023W,PC,1,12.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"132,000",G,PC
7000023W,PLR,100,1.0,"1 146,000",MM,"750,000",MM,"121,000",MM,"104,000",CDM,"16 800,000",G,"13 200,000",G,PLR
7000023W,PLU,1 540,1.0,"1 200,000",MM,"1 000,000",MM,"1 481,000",MM,"1 777,200",CDM,"283 720,000",G,"203 280,000",G,PLU
7000023W,PRU,140,1.0,"1 146,000",MM,"1 000,000",MM,"121,000",MM,"138,666",CDM,"23 520,000",G,"18 480,000",G,PRU
7000023W,SU,10,1.0,"323,000",MM,"251,000",MM,"121,000",MM,"9,810",CDM,"1 680,000",G,"1 320,000",G,SU
7000056B,CU,1,1.0,"30,000",MM,"95,000",MM,"230,000",MM,"0,656",CDM,"74,000",G,"71,000",G,PCF
7000056B,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 656,960",CDM,"237 948,000",G,"178 920,000",G,DU
7000056B,PC,1,6.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",G,"71,000",G,
7000056B,PLR,180,1.0,"1 190,000",MM,"798,000",MM,"117,000",MM,"107,757",CDM,"15 282,000",G,"12 780,000",G,
7000056B,PLU,2 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 437,000",MM,"1 724,400",CDM,"211 780,000",G,"156 200,000",G,
7000056B,PRU,200,1.0,"1 176,000",MM,"924,000",MM,"117,000",MM,"127,135",CDM,"16 980,000",G,"14 200,000",G,
7000056B,SU,10,1.0,"268,000",MM,"200,000",MM,"120,000",MM,"5,921",CDM,"849,000",G,"710,000",G,
7000057A,CU,1,1.0,"30,000",MM,"145,000",MM,"235,000",MM,"1,022",CDM,"117,000",G,"108,000",G,
7000057A,PAL,1 120,1.0,"1 200,000",MM,"800,000",MM,"1 579,000",MM,"1 515,840",CDM,"155 040,000",G,"120 960,000",G,
7000057A,PC,1,12.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",,"108,000",G,
7000057A,PCF,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"108,000",G,
7000057A,PLR,160,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"18 720,000",G,"17 280,000",G,
7000057A,SU,10,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 170,000",G,"1 080,000",G,
7000059C,CU,1,1.0,"23,000",MM,"104,000",MM,"240,000",MM,"0,454",CDM,"54,200",G,"47,000",G,
7000059C,PAL,3 200,1.0,"1 200,000",MM,"800,000",MM,"1 672,000",MM,"1 605,120",CDM,"197 440,000",G,"150 400,000",G,
7000059C,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"47,000",G,
7000059C,PLR,320,1.0,"1 180,000",MM,"800,000",MM,"154,000",MM,"145,376",CDM,"17 344,000",G,"15 040,000",G,
7000059C,PLU,3 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 427,000",MM,"1 712,400",CDM,"173 440,000",G,"150 400,000",G,
7000059C,PRU,400,1.0,"1 200,000",MM,"1 000,000",MM,"158,000",MM,"189,600",CDM,"21 680,000",G,"18 800,000",G,
7000059C,SU,20,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"1 084,000",G,"940,000",G,
7000063E,CU,1,1.0,"32,000",MM,"96,000",MM,"112,000",MM,"0,344",CDM,"28,800",G,"16,998",G,
7000063E,DU,100,1.0,"525,000",MM,"200,000",MM,"320,000",MM,"33,600",CDM,"3 900,000",G,"1 699,800",G,
7000063E,PAL,4 000,1.0,"1 200,000",MM,"800,000",MM,"1 744,000",MM,"1 674,240",CDM,"180 000,000",G,"67 992,000",G,
7000063E,PC,1,3.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"16,998",G,
7000063E,PLR,800,1.0,"1 200,000",MM,"800,000",MM,"320,000",MM,"307,200",CDM,"31 200,000",G,"13 598,400",G,
7000063E,PLU,4 000,1.0,"1 200,000",MM,"1 000,000",MM,"1 430,000",MM,"1 716,000",CDM,"181 000,000",G,"67 992,000",G,
7000063E,PRU,1 000,1.0,"1 050,000",MM,"1 000,000",MM,"320,000",MM,"336,000",CDM,"39 000,000",G,"16 998,000",G,
7000063E,SU,10,1.0,"182,000",MM,"100,000",MM,"153,000",MM,"2,785",CDM,"343,000",G,"169,980",G,
7000102I,CU,1,1.0,"10,000",MM,"52,000",MM,"28,000",MM,"0,015",CDM,"8,940",G,"6,940",G,
7000102I,DU,1 000,1.0,"325,000",MM,"280,000",MM,"220,000",MM,"19,608",CDM,"9 924,000",G,"6 940,000",G,
7000102I,PAL,40 000,1.0,"1 200,000",MM,"800,000",MM,"1 244,000",MM,"1 194,240",CDM,"420 960,000",G,"277 600,000",G,
7000102I,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"6,940",G,
7000102I,PLR,8 000,1.0,"1 120,000",MM,"650,000",MM,"220,000",MM,"206,400",CDM,"79 392,000",G,"55 520,000",G,
7000102I,PLU,48 000,1.0,"12 000,000",MM,"1 000,000",MM,"1 030,000",MM,"12,360",M3,"501 352,000",G,"333 120,000",G,
7000102I,PRU,12 000,1.0,"1 120,000",MM,"975,000",MM,"220,000",MM,"0,240",M3,"119 088,000",G,"83 280,000",G,
7000102I,SU,20,1.0,"210,000",MM,"55,000",MM,"31,000",MM,"0,343",CDM,"193,000",G,"138,800",G,
70001330,CU,1,1.0,"12,000",MM,"100,000",MM,"115,000",MM,"0,138",CDM,"30,000",G,"26,000",G,
70001330,DU,100,1.0,"540,000",MM,"245,000",MM,"130,000",MM,"17,730",CDM,"3 752,000",G,"2 600,000",G,
70001330,PAL,7 700,1.0,"1 200,000",MM,"800,000",MM,"1 574,000",MM,"1 516,800",CDM,"312 904,000",G,"200 200,000",G,
70001330,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"26,000",G,
70001330,PLR,700,1.0,"1 225,000",MM,"785,000",MM,"130,000",MM,"124,800",CDM,"26 264,000",G,"18 200,000",G,
70001330,PLU,7 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 320,000",MM,"1 605,600",CDM,"295 144,000",G,"187 200,000",G,
70001330,PRU,800,1.0,"1 080,000",MM,"980,000",MM,"130,000",MM,"158,400",CDM,"30 016,000",G,"20 800,000",G,
70001330,SU,10,1.0,"117,000",MM,"105,000",MM,"118,000",MM,"1,449",CDM,"353,000",G,"260,000",G,
7000182H,CU,1,1.0,"150,000",MM,"122,000",MM,"190,000",MM,"3,547",CDM,"493,000",G,"449,000",G,
7000182H,PAL,280,1.0,"1 200,000",MM,"800,000",MM,"1 544,000",MM,"1 495,680",CDM,"162 040,000",G,"125 720,000",G,
7000182H,PC,1,100.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",G,"449,000",G,
7000182H,PLR,40,1.0,"1 025,000",MM,"775,000",MM,"200,000",MM,"192,000",CDM,"19 720,000",G,"17 960,000",G,
7000182H,PLU,240,1.0,"1 200,000",MM,"1 000,000",MM,"1 350,000",MM,"1 307,520",CDM,"143 320,000",G,"107 760,000",G,
7000182H,PRU,40,1.0,"1 000,000",MM,"775,000",MM,"200,000",MM,"193,920",CDM,"19 720,000",G,"17 960,000",G,
7000182H,SU,10,1.0,"755,000",MM,"250,000",MM,"200,000",MM,"3,547",CDM,"4 930,000",G,"4 490,000",G,
7000201D,CU,1,1.0,"21,000",MM,"85,000",MM,"186,000",MM,"0,332",CDM,"34,300",G,"22,000",G,
7000201D,DU,180,1.0,"457,000",MM,"275,000",MM,"395,000",MM,"49,642",CDM,"7 365,000",G,"3 960,000",G,
7000201D,PAL,4 320,1.0,"1 200,000",MM,"800,000",MM,"1 724,000",MM,"1 655,040",CDM,"200 760,000",G,"95 040,000",G,
7000201D,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"34,300",G,"22,000",G,
7000201D,PLR,1 080,1.0,"1 100,000",MM,"732,000",MM,"395,000",MM,"318,054",CDM,"44 190,000",G,"23 760,000",G,
7000201D,PLU,4 320,1.0,"1 200,000",MM,"1 000,000",MM,"1 335,000",MM,"1 602,000",CDM,"201 760,000",G,"95 040,000",G,
7000201D,PRU,1 440,1.0,"1 100,000",MM,"914,000",MM,"395,000",MM,"397,133",CDM,"58 920,000",G,"31 680,000",G,
7000201D,SU,10,1.0,"150,000",MM,"90,000",MM,"190,000",MM,"2,565",CDM,"388,000",G,"220,000",G,
70003740,CU,1,1.0,"62,000",MM,"98,000",MM,"207,000",MM,"1,258",CDM,"93,000",G,"68,000",G,
70003740,DU,50,1.0,"531,000",MM,"252,000",MM,"427,000",MM,"57,138",CDM,"4 650,000",G,"3 400,000",G,
70003740,PAL,1 200,1.0,"1 200,000",MM,"800,000",MM,"1 852,000",MM,"1 777,920",CDM,"135 600,000",G,"81 600,000",G,
70003740,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"68,000",G,
70003740,PLR,300,1.0,"1 062,000",MM,"756,000",MM,"427,000",MM,"409,920",CDM,"27 900,000",G,"20 400,000",G,
70003740,PLU,900,1.0,"1 200,000",MM,"1 000,000",MM,"1 431,000",MM,"1 717,200",CDM,"108 700,000",G,"61 200,000",G,
70003740,PRU,300,1.0,"1 062,000",MM,"756,000",MM,"427,000",MM,"342,826",CDM,"27 900,000",G,"20 400,000",G,
70003740,SU,5,1.0,"277,000",MM,"103,000",MM,"205,000",MM,"5,181",CDM,"465,000",G,"340,000",G,
7000376J,CU,1,1.0,"40,000",MM,"91,000",MM,"202,000",MM,"0,735",CDM,"108,000",G,"85,000",G,
7000376J,DU,50,1.0,"479,000",MM,"219,000",MM,"427,000",MM,"44,793",CDM,"5 408,000",G,"4 250,000",G,
7000376J,PAL,1 400,1.0,"1 200,000",MM,"800,000",MM,"1 852,000",MM,"1 777,920",CDM,"175 424,000",G,"119 000,000",G,
7000376J,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"85,000",G,
7000376J,PLR,350,1.0,"1 200,000",MM,"800,000",MM,"427,000",MM,"409,920",CDM,"37 856,000",G,"29 750,000",G,
7000376J,SU,5,1.0,"210,000",MM,"95,000",MM,"206,000",MM,"4,110",CDM,"540,000",G,"425,000",G,
70003890,CU,1,1.0,"98,000",MM,"54,000",MM,"198,000",MM,"1,401",CDM,"113,200",G,"84,000",G,
70003890,DU,50,1.0,"531,000",MM,"309,000",MM,"427,000",MM,"70,062",CDM,"5 660,000",G,"4 200,000",G,
70003890,PAL,800,1.0,"1 200,000",MM,"800,000",MM,"1 852,000",MM,"1 777,920",CDM,"114 560,000",G,"67 200,000",G,
70003890,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"84,000",G,
70003890,PLR,200,1.0,"1 200,000",MM,"800,000",MM,"427,000",MM,"409,920",CDM,"22 640,000",G,"16 800,000",G,
70003890,SU,5,1.0,"300,000",MM,"102,000",MM,"206,000",MM,"6,304",CDM,"570,000",G,"420,000",G,
7000411D,CU,1,1.0,"8,000",MM,"85,000",MM,"185,000",MM,"0,126",CDM,"42,000",G,"12,200",G,
7000411D,DU,72,1.0,"375,000",MM,"280,000",MM,"196,000",MM,"20,580",CDM,"3 923,000",G,"878,400",G,
7000411D,PAL,4 032,1.0,"1 200,000",MM,"800,000",MM,"1 522,000",MM,"1 461,120",CDM,"243 732,800",G,"49 190,400",G,
7000411D,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"42,000",G,"12,200",G,
7000411D,PLR,576,1.0,"1 200,000",MM,"800,000",MM,"196,000",MM,"188,160",CDM,"31 390,000",G,"7 027,200",G,
7000411D,PLU,4 320,1.0,"1 200,000",MM,"1 000,000",MM,"1 363,000",MM,"1 635,600",CDM,"260 428,000",G,"52 704,000",G,
7000411D,PRU,720,1.0,"1 200,000",MM,"1 000,000",MM,"196,000",MM,"235,200",CDM,"39 238,000",G,"8 784,000",G,
7000411D,SU,3,1.0,"188,000",MM,"45,000",MM,"88,000",MM,"0,744",CDM,"153,000",G,"36,600",G,
7000412D,CU,1,1.0,"10,000",MM,"85,000",MM,"185,000",MM,"0,157",CDM,"48,750",G,"43,875",G,
7000412D,DU,72,1.0,"376,000",MM,"282,000",MM,"200,000",MM,"22,040",CDM,"3 504,000",G,"3 159,000",G,
7000412D,PAL,4 032,1.0,"1 200,000",MM,"800,000",MM,"1 544,000",MM,"1 488,000",CDM,"220 224,000",G,"176 904,000",G,
7000412D,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",G,"43,875",G,
7000412D,PLR,576,1.0,"1 128,000",MM,"752,000",MM,"200,000",MM,"192,000",CDM,"28 032,000",G,"25 272,000",G,
7000412D,PLU,4 320,1.0,"1 200,000",MM,"1 000,000",MM,"1 350,000",MM,"1 635,600",CDM,"235 240,000",G,"189 540,000",G,
7000412D,PRU,720,1.0,"1 160,000",MM,"960,000",MM,"1 200,000",MM,"240,000",CDM,"35 040,000",G,"31 590,000",G,
7000412D,SU,3,1.0,"133,000",MM,"62,000",MM,"183,000",MM,"0,761",CDM,"146,000",G,"131,625",G,
7000420D,CU,1,1.0,"62,000",MM,"10,000",MM,"184,000",MM,"0,114",CDM,"39,170",G,"35,253",G,
7000420D,DU,72,1.0,"398,000",MM,"263,000",MM,"200,000",MM,"20,935",CDM,"3 475,000",G,"2 538,216",G,
7000420D,PAL,4 536,1.0,"1 200,000",MM,"800,000",MM,"1 544,000",MM,"1 482,240",CDM,"242 925,000",G,"159 907,608",G,
7000420D,PC,1,1.0,"62,000",MM,"10,000",MM,"184,000",MM,"0,114",CDM,"0,000",,"35,253",G,
7000420D,PLR,648,1.0,"1 185,000",MM,"780,000",MM,"200,000",MM,"184,860",CDM,"31 275,000",G,"22 843,944",G,
7000420D,PLU,4 320,1.0,"1 200,000",MM,"1 000,000",MM,"1 350,000",MM,"1 620,000",CDM,"233 500,000",G,"152 292,960",G,
7000420D,PRU,720,1.0,"1 185,000",MM,"925,000",MM,"200,000",MM,"219,225",CDM,"34 750,000",G,"25 382,160",G,
7000420D,SU,6,1.0,"87,000",MM,"79,000",MM,"187,000",MM,"1,285",CDM,"220,000",G,"211,518",G,
7000430D,CU,1,1.0,"8,500",MM,"60,000",MM,"230,000",MM,"0,117",CDM,"26,660",G,"20,000",G,
7000430D,DU,252,1.0,"565,000",MM,"399,000",MM,"250,000",MM,"53,030",CDM,"8 644,000",G,"5 040,000",G,
7000430D,PAL,6 048,1.0,"1 200,000",MM,"800,000",MM,"1 644,000",MM,"1 555,200",CDM,"231 456,000",G,"120 960,000",G,
7000430D,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"20,000",G,
7000430D,PLR,1 008,1.0,"1 130,000",MM,"798,000",MM,"250,000",MM,"235,200",CDM,"34 576,000",G,"20 160,000",G,
7000430D,PLU,6 300,1.0,"1 200,000",MM,"1 000,000",MM,"1 400,000",MM,"1 665,600",CDM,"241 100,000",G,"126 000,000",G,
7000430D,PRU,1 260,1.0,"1 197,000",MM,"964,000",MM,"250,000",MM,"294,000",CDM,"43 220,000",G,"25 200,000",G,
7000430D,SU,6,1.0,"79,000",MM,"62,000",MM,"233,000",MM,"1,222",CDM,"194,000",G,"120,000",G,
70007490,CU,1,1.0,"41,000",MM,"101,000",MM,"207,000",MM,"0,857",CDM,"97,000",G,"80,000",G,
70007490,PAL,1 400,1.0,"1 200,000",MM,"800,000",MM,"1 705,000",MM,"1 636,800",CDM,"159 800,000",G,"112 000,000",G,
70007490,PC,1,3.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"80,000",G,
70007490,PLR,200,1.0,"1 200,000",MM,"800,000",MM,"223,000",MM,"214,080",CDM,"19 400,000",G,"16 000,000",G,
70007490,PLU,1 500,1.0,"1 200,000",MM,"1 000,000",MM,"1 488,000",MM,"1 785,600",CDM,"170 500,000",G,"120 000,000",G,
70007490,PRU,250,1.0,"1 110,000",MM,"1 000,000",MM,"223,000",MM,"247,530",CDM,"24 250,000",G,"20 000,000",G,
70007490,SU,10,1.0,"222,000",MM,"200,000",MM,"223,000",MM,"9,901",CDM,"970,000",G,"800,000",G,
70007940,CU,1,1.0,"46,000",MM,"100,000",MM,"200,000",MM,"0,920",CDM,"102,000",G,"87,000",G,
70007940,PAL,1 512,1.0,"1 200,000",MM,"800,000",MM,"1 649,000",MM,"1 583,040",CDM,"178 476,000",G,"131 544,000",G,
70007940,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"87,000",G,
70007940,PLR,216,1.0,"1 200,000",MM,"800,000",MM,"215,000",MM,"206,400",CDM,"22 068,000",G,"18 792,000",G,
70007940,SU,12,1.0,"265,000",MM,"200,000",MM,"215,000",MM,"11,395",CDM,"1 226,000",G,"1 044,000",G,
7000803A,CU,1,1.0,"20,000",MM,"90,000",MM,"270,000",MM,"0,486",CDM,"48,500",G,"43,650",G,
7000803A,PAL,2 400,1.0,"1 200,000",MM,"800,000",MM,"1 880,000",MM,"1 804,800",CDM,"136 000,000",G,"104 760,000",G,
7000803A,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"43,650",G,
7000803A,PLR,240,1.0,"1 200,000",MM,"800,000",MM,"173,000",MM,"168,000",CDM,"11 652,000",G,"10 476,000",G,
7000803A,SU,20,1.0,"385,000",MM,"195,000",MM,"173,000",MM,"12,988",CDM,"971,000",G,"873,000",G,
7000803C,CU,1,1.0,"48,000",MM,"65,000",MM,"120,000",MM,"0,374",CDM,"52,000",G,"46,000",G,
7000803C,PAL,1 800,1.0,"1 200,000",MM,"800,000",MM,"900,000",MM,"864,000",CDM,"117 600,000",G,"82 800,000",G,
7000803C,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"46,000",G,
7000803C,PLR,300,1.0,"1 200,000",MM,"800,000",MM,"126,000",MM,"120,960",CDM,"15 600,000",G,"13 800,000",G,
7000803C,SU,10,1.0,"221,000",MM,"125,000",MM,"126,000",MM,"3,481",CDM,"520,000",G,"460,000",G,
7000805H,CU,1,1.0,"20,000",MM,"75,000",MM,"200,000",MM,"0,300",CDM,"23,400",G,"22,200",G,
7000805H,PAL,3 040,1.0,"1 200,000",MM,"800,000",MM,"1 800,000",MM,"1 728,000",CDM,"112 464,000",G,"67 488,000",G,
7000805H,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"22,200",G,
7000805H,PLR,380,1.0,"1 200,000",MM,"800,000",MM,"207,000",MM,"198,720",CDM,"11 058,000",G,"8 436,000",G,
7000805H,SU,20,1.0,"243,000",MM,"194,000",MM,"207,000",MM,"9,758",CDM,"582,000",G,"444,000",G,
7000806A,CU,1,1.0,"45,000",MM,"65,000",MM,"128,000",MM,"0,351",CDM,"46,000",G,"43,750",G,
7000806A,PAL,3 360,1.0,"1 200,000",MM,"800,000",MM,"1 686,000",MM,"1 618,560",CDM,"198 216,000",G,"147 000,000",G,
7000806A,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"46,000",G,"43,750",G,
7000806A,PLR,280,1.0,"1 200,000",MM,"800,000",MM,"128,000",MM,"122,880",CDM,"14 518,000",G,"12 250,000",G,
7000806A,PLU,3 600,1.0,"1 200,000",MM,"1 000,000",MM,"1 443,000",MM,"1 731,600",CDM,"211 660,000",G,"157 500,000",G,
7000806A,PRU,360,1.0,"1 200,000",MM,"1 000,000",MM,"128,000",MM,"153,600",CDM,"18 666,000",G,"15 750,000",G,
7000806A,SU,20,1.0,"260,000",MM,"230,000",MM,"128,000",MM,"7,654",CDM,"1 037,000",G,"875,000",G,
70008120,CU,1,1.0,"38,000",MM,"90,000",MM,"200,000",MM,"0,684",CDM,"86,800",G,"46,680",G,
70008120,DU,50,1.0,"479,000",MM,"219,000",MM,"427,000",MM,"44,793",CDM,"5 406,000",G,"2 334,000",G,
70008120,PAL,1 050,1.0,"1 200,000",MM,"800,000",MM,"1 425,000",MM,"1 368,000",CDM,"137 526,000",G,"49 014,000",G,
70008120,PC,1,1.0,"38,000",MM,"90,000",MM,"200,000",MM,"0,684",CDM,"86,800",G,"46,680",G,
70008120,PLR,350,1.0,"1 095,000",MM,"698,000",MM,"427,000",MM,"409,920",CDM,"37 842,000",G,"16 338,000",G,
70008120,PLU,1 500,1.0,"1 200,000",MM,"1 000,000",MM,"1 431,000",MM,"1 717,200",CDM,"187 180,000",G,"70 020,000",G,
70008120,PRU,500,1.0,"1 136,000",MM,"958,000",MM,"427,000",MM,"464,699",CDM,"54 060,000",G,"23 340,000",G,
70008120,SU,5,1.0,"95,000",MM,"210,000",MM,"206,000",MM,"4,110",CDM,"508,000",G,"233,400",G,
7000879G,CU,1,1.0,"5,000",MM,"60,000",MM,"230,000",MM,"0,069",CDM,"21,900",G,"17,000",G,
7000879G,DU,240,1.0,"565,000",MM,"399,000",MM,"245,000",MM,"51,480",CDM,"5 727,000",G,"4 080,000",G,
7000879G,PAL,5 760,1.0,"1 200,000",MM,"800,000",MM,"1 614,000",MM,"1 526,400",CDM,"161 448,000",G,"97 920,000",G,
7000879G,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",G,"17,000",G,
7000879G,PLR,960,1.0,"1 130,000",MM,"798,000",MM,"245,000",MM,"230,400",CDM,"22 908,000",G,"16 320,000",G,
7000879G,PLU,6 000,1.0,"1 200,000",MM,"1 000,000",MM,"1 375,000",MM,"1 650,000",CDM,"168 175,000",G,"102 000,000",G,
7000879G,PRU,1 200,1.0,"1 197,000",MM,"964,000",MM,"245,000",MM,"282,707",CDM,"28 635,000",G,"20 400,000",G,
7000879G,SU,10,1.0,"132,000",MM,"61,000",MM,"231,000",MM,"1,950",CDM,"219,000",G,"170,000",G,
7000883D,CU,1,1.0,"50,000",MM,"60,000",MM,"185,000",MM,"0,555",CDM,"16,750",G,"8,250",G,
7000883D,DU,110,1.0,"553,000",MM,"227,000",MM,"197,000",MM,"24,730",CDM,"2 562,600",G,"907,500",G,
7000883D,PAL,5 390,1.0,"1 200,000",MM,"800,000",MM,"1 523,000",MM,"1 462,080",CDM,"149 567,400",G,"44 467,500",G,
7000883D,PC,1,1.0,"50,000",MM,"60,000",MM,"185,000",MM,"0,555",CDM,"16,750",G,"8,250",G,
7000883D,PLR,770,1.0,"1 135,000",MM,"780,000",MM,"197,000",MM,"174,404",CDM,"17 938,200",G,"6 352,500",G,
7000883D,PLU,5 280,1.0,"1 200,000",MM,"1 000,000",MM,"1 332,000",MM,"1 598,400",CDM,"148 004,800",G,"43 560,000",G,
7000883D,PRU,880,1.0,"1 106,000",MM,"908,000",MM,"197,000",MM,"197,837",CDM,"20 500,800",G,"7 260,000",G,
7000883D,SU,10,1.0,"145,000",MM,"62,000",MM,"187,000",MM,"1,681",CDM,"210,000",G,"82,500",G,
7000885D,CU,1,1.0,"5,000",MM,"85,000",MM,"185,000",MM,"0,079",CDM,"53,200",G,"47,000",G,
7000885D,DU,96,1.0,"358,000",MM,"300,000",MM,"198,000",MM,"21,050",CDM,"5 104,000",G,"4 512,000",G,
7000885D,PAL,5 376,1.0,"1 200,000",MM,"800,000",MM,"1 530,000",MM,"1 461,120",CDM,"309 824,000",G,"252 672,000",G,
7000885D,PC,1,1.0,"5,000",MM,"85,000",MM,"185,000",MM,"0,079",CDM,"53,200",G,"47,000",G,
7000885D,PLR,768,1.0,"1 200,000",MM,"716,000",MM,"198,000",MM,"188,160",CDM,"40 832,000",G,"36 096,000",G,
7000885D,PLU,5 760,1.0,"1 200,000",MM,"1 000,000",MM,"1 338,000",MM,"1 605,600",CDM,"331 240,000",G,"270 720,000",G,
7000885D,PRU,960,1.0,"1 200,000",MM,"958,000",MM,"198,000",MM,"227,621",CDM,"51 040,000",G,"45 120,000",G,
7000885D,SU,6,1.0,"87,000",MM,"73,000",MM,"188,000",MM,"1,254",CDM,"319,000",G,"282,000",G,
7000885V,CU,1,1.0,"5,000",MM,"85,000",MM,"185,000",MM,"0,079",CDM,"62,000",G,"53,230",G,
7000885V,DU,96,1.0,"358,000",MM,"300,000",MM,"198,000",MM,"21,265",CDM,"6 779,000",G,"5 110,080",G,
7000885V,PAL,5 376,1.0,"1 200,000",MM,"800,000",MM,"1 530,000",MM,"1 468,800",CDM,"403 624,000",G,"286 164,480",G,
7000885V,PC,1,1.0,"5,000",MM,"85,000",MM,"185,000",MM,"0,079",CDM,"62,000",G,"53,230",G,
7000885V,PLR,768,1.0,"1 200,000",MM,"716,000",MM,"198,000",MM,"170,122",CDM,"54 232,000",G,"40 880,640",G,
7000885V,PLU,5 760,1.0,"1 200,000",MM,"1 000,000",MM,"1 338,000",MM,"1 605,600",CDM,"431 740,000",G,"306 604,800",G,
7000885V,PRU,960,1.0,"1 200,000",MM,"958,000",MM,"198,000",MM,"227,621",CDM,"67 790,000",G,"51 100,800",G,
7000885V,SU,6,1.0,"78,000",MM,"88,000",MM,"185,000",MM,"1,270",CDM,"408,000",G,"319,380",G,
7000886D,CU,1,1.0,"5,000",MM,"85,000",MM,"185,000",MM,"0,079",CDM,"51,770",G,"46,530",G,
7000886D,DU,96,1.0,"358,000",MM,"300,000",MM,"198,000",MM,"21,050",CDM,"4 960,000",G,"4 466,880",G,
7000886D,PAL,5 376,1.0,"1 200,000",MM,"958,000",MM,"198,000",MM,"1 461,120",CDM,"301 760,000",G,"250 145,280",G,
7000886D,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"46,530",G,
7000886D,PLR,768,1.0,"1 200,000",MM,"716,000",MM,"198,000",MM,"188,160",CDM,"39 680,000",G,"35 735,040",G,
7000886D,PLU,5 760,1.0,"1 200,000",MM,"1 000,000",MM,"1 338,000",MM,"1 635,600",CDM,"322 600,000",G,"268 012,800",G,
7000886D,PRU,960,1.0,"1 200,000",MM,"800,000",MM,"1 530,000",MM,"235,200",CDM,"49 600,000",G,"44 668,800",G,
7000886D,SU,6,1.0,"87,000",MM,"73,000",MM,"188,000",MM,"1,254",CDM,"310,000",G,"279,180",G,
70008910,CU,1,1.0,"95,000",MM,"250,000",MM,"30,000",MM,"0,713",CDM,"95,333",G,"69,894",G,
70008910,DU,72,1.0,"600,000",MM,"400,000",MM,"265,000",MM,"63,600",CDM,"7 440,000",G,"5 032,368",G,
70008910,PAL,1 728,1.0,"1 200,000",MM,"800,000",MM,"1 740,000",MM,"1 670,400",CDM,"203 560,000",G,"120 776,832",G,
70008910,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"69,894",G,
70008910,PLR,288,1.0,"1 200,000",MM,"800,000",MM,"265,000",MM,"254,400",CDM,"29 760,000",G,"20 129,472",G,
70008910,SU,6,1.0,"190,000",MM,"100,000",MM,"255,000",MM,"4,845",CDM,"572,000",G,"419,364",G,
70008920,CU,1,1.0,"95,000",MM,"250,000",MM,"30,000",MM,"0,713",CDM,"102,660",G,"92,394",G,
70008920,DU,72,1.0,"600,000",MM,"400,000",MM,"254,000",MM,"60,960",CDM,"8 760,000",G,"6 652,368",G,
